C:\Users\kohlm\Desktop\arbeit\qPCR\130320 Standards BSP RIDA BSP.mxp
Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 2	P	 2	14	Campy	  1	     4827	59.6
 2	P	 2	14	Campy	  2	     4708	59.6
 2	P	 2	14	Campy	  3	     4662	59.6
 2	P	 2	14	Campy	  4	     4633	59.6
 2	P	 2	14	Campy	  5	     4634	59.6
 2	P	 2	14	Campy	  6	     4615	59.6
 2	P	 2	14	Campy	  7	     4633	59.7
 2	P	 2	14	Campy	  8	     4634	59.7
 2	P	 2	14	Campy	  9	     4628	59.7
 2	P	 2	14	Campy	 10	     4631	59.7
 2	P	 2	14	Campy	 11	     4623	59.7
 2	P	 2	14	Campy	 12	     4633	59.7
 2	P	 2	14	Campy	 13	     4628	59.7
 2	P	 2	14	Campy	 14	     4622	59.7
 2	P	 2	14	Campy	 15	     4627	59.7
 2	P	 2	14	Campy	 16	     4623	59.7
 2	P	 2	14	Campy	 17	     4622	59.7
 2	P	 2	14	Campy	 18	     4603	59.7
 2	P	 2	14	Campy	 19	     4616	59.7
 2	P	 2	14	Campy	 20	     4634	59.7
 2	P	 2	14	Campy	 21	     4631	59.7
 2	P	 2	14	Campy	 22	     4633	59.7
 2	P	 2	14	Campy	 23	     4644	59.7
 2	P	 2	14	Campy	 24	     4630	59.7
 2	P	 2	14	Campy	 25	     4639	59.7
 2	P	 2	14	Campy	 26	     4635	59.7
 2	P	 2	14	Campy	 27	     4626	59.7
 2	P	 2	14	Campy	 28	     4633	59.7
 2	P	 2	14	Campy	 29	     4659	59.7
 2	P	 2	14	Campy	 30	     4682	59.7
 2	P	 2	14	Campy	 31	     4718	59.7
 2	P	 2	14	Campy	 32	     4799	59.7
 2	P	 2	14	Campy	 33	     4926	59.7
 2	P	 2	14	Campy	 34	     5214	59.7
 2	P	 2	14	Campy	 35	     5632	59.7
 2	P	 2	14	Campy	 36	     6295	59.7
 2	P	 2	14	Campy	 37	     7153	59.7
 2	P	 2	14	Campy	 38	     8143	59.7
 2	P	 2	14	Campy	 39	     9097	59.7
